NA19098	NA19101	NA19239
IFI27L2	AGO3	NDUFB5
TRIM41	BMP2K	KIAA1715
TMEM11	POLR2A	C16orf70
PINK1	RRAGC	INTS7
TRIM26	INCENP	ZNF43
KLF16	ALCAM	ATCAY
LHX5	AGAP1	SCN9A
SMARCA1	C12orf45	ZNF181
NDUFAF6	ZNF267	RRP1
MARVELD2	LAS1L	TAF1C
PRTG	MAD2L1	XRCC1
SSR4	CNOT6	ZNF329
GTSE1	CADPS	ZNF829
PFKFB2	ANKRD27	POLI
PHF20	PPIF	NCKAP5L
CENPB	NPIPA1	FUT9
PLXNB2	CWC15	NUFIP1
ATP5S	RGS10	FGD6
FKBP3	TAP1	ARHGEF35
EXPH5	MLH3	ZNF627
AQP11	TMUB1	PSMA5
HMGB1	SLC35A4	MYEF2
TMEM242	C10orf2	APITD1
TIMM10B	DUSP22	KARS
REEP4	POU2F1	TNRC6A
FUBP1	STXBP5	PNO1
STX8	ERP44	PANK4
ANKRD50	IRX2	PDE4B
AMER1	USP25	STXBP4
HMMR	MAF	TADA1
PLXNC1	SLC18A2	ZC3H10
MON2	STK16	SEZ6L2
IGDCC4	OGFOD1	NIT2
SCLY	MBD6	DMAP1
TIGD5	POGK	CDIP1
SEC22A	STARD3NL	RIPK2
LCORL	UBE2F	PNP
